elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
4539.6025390625,0.0,0.0,-0.47999998927116394,-0.23999999463558197,-0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4539.70166015625,0.0,0.0,-0.47999998927116394,-0.25,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4539.8017578125,0.0,0.0,-0.4399999976158142,-0.25999999046325684,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4539.90234375,0.0,0.0,-0.4699999988079071,-0.25999999046325684,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.00244140625,0.0,0.0,-0.4699999988079071,-0.27000001072883606,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.103515625,0.0,0.0,-0.46000000834465027,-0.28999999165534973,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.203125,0.0,0.0,-0.4699999988079071,-0.25999999046325684,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.30078125,0.0,0.0,-0.46000000834465027,-0.28999999165534973,-0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.4013671875,0.0,0.0,-0.4699999988079071,-0.2800000011920929,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.50244140625,0.0,0.0,-0.44999998807907104,-0.25999999046325684,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.6005859375,0.0,0.0,-0.46000000834465027,-0.27000001072883606,0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.70166015625,0.0,0.0,-0.4699999988079071,-0.25999999046325684,-0.0,0.0,0.0,0.24286000430583954,-0.05000000074505806
4540.802734375,0.0,0.0,-0.47999998927116394,-0.27000001072883606,0.0,0.0,1.0,0.24286000430583954,-0.05000000074505806
4540.90283203125,0.0,0.0,-1.9199999570846558,-0.3199999928474426,0.009999999776482582,0.10000000149011612,1.0,0.24286000430583954,-0.05000000074505806
4541.0029296875,0.0,0.0,1.4700000286102295,-1.0299999713897705,-0.09000000357627869,0.25999999046325684,1.0,0.24286000430583954,-0.05000000074505806
4541.10302734375,0.0,0.0,1.3799999952316284,-2.3299999237060547,-0.10999999940395355,0.5199999809265137,1.0,0.24286000430583954,-0.05000000074505806
4541.20263671875,0.0,0.0,-0.4099999964237213,0.5199999809265137,-0.17000000178813934,0.7699999809265137,1.0,0.24286000430583954,-0.05000000074505806
4541.302734375,0.0,0.0,1.100000023841858,-1.8600000143051147,-0.14000000059604645,0.9300000071525574,1.0,0.23886001110076904,-0.05000000074505806
4541.40380859375,0.0,0.0,3.5199999809265137,-0.3799999952316284,-0.23999999463558197,1.190000057220459,1.0,0.2068600058555603,-0.05000000074505806
4541.50244140625,0.0,0.0,-0.7099999785423279,-2.809999942779541,-0.25999999046325684,1.2400000095367432,1.0,0.1548599898815155,-0.05000000074505806
4541.60205078125,0.0,0.0,1.9199999570846558,-1.6100000143051147,-0.20999999344348907,1.2899999618530273,1.0,0.14485999941825867,-0.05000000074505806
4541.701171875,0.0,0.0,-6.150000095367432,0.07000000029802322,-0.1899999976158142,1.2400000095367432,1.0,0.14286001026630402,-0.05000000074505806
4541.80078125,0.0,0.0,-4.400000095367432,4.369999885559082,-0.17000000178813934,1.190000057220459,1.0,0.14485999941825867,-0.05000000074505806
4541.90185546875,0.0,0.0,0.3499999940395355,-1.0299999713897705,-0.23999999463558197,1.0800000429153442,1.0,0.1548599898815155,-0.05000000074505806
4542.00048828125,0.0,0.0,-1.9900000095367432,-0.019999999552965164,-0.18000000715255737,1.0800000429153442,1.0,0.1768600046634674,-0.05000000074505806
4542.10205078125,0.0,0.0,-0.7599999904632568,1.409999966621399,-0.10999999940395355,1.0299999713897705,1.0,0.1768600046634674,-0.05000000074505806
4542.20263671875,0.0,0.0,-2.6700000762939453,0.23000000417232513,-0.019999999552965164,1.0800000429153442,1.0,0.18686001002788544,-0.05000000074505806
4542.302734375,0.0,0.0,1.600000023841858,-1.309999942779541,-0.2199999988079071,1.0800000429153442,1.0,0.1768600046634674,-0.05000000074505806
4542.40234375,0.0,0.0,4.400000095367432,0.0,-0.1599999964237213,1.0800000429153442,1.0,0.1768600046634674,-0.05000000074505806
4542.5029296875,0.0,0.0,-1.590000033378601,-0.03999999910593033,-0.11999999731779099,1.0800000429153442,1.0,0.1768600046634674,-0.05000000074505806
4542.6025390625,0.0,0.0,-1.659999966621399,2.9600000381469727,0.18000000715255737,1.1299999952316284,1.0,0.1768600046634674,-0.05000000074505806
4542.7021484375,0.0,0.0,0.75,-2.690000057220459,-0.07000000029802322,1.1299999952316284,1.0,0.16686001420021057,-0.05000000074505806
4542.8017578125,0.0,0.0,-3.130000114440918,-0.03999999910593033,-0.07999999821186066,1.1299999952316284,1.0,0.16686001420021057,-0.05000000074505806
4542.9033203125,0.0,0.0,-1.2100000381469727,1.2200000286102295,0.019999999552965164,1.1299999952316284,1.0,0.16686001420021057,-0.05000000074505806
4543.00146484375,0.0,0.0,-0.3400000035762787,-2.4000000953674316,-0.029999999329447746,1.1299999952316284,1.0,0.16686001420021057,-3.191891195797325e-16
4543.1005859375,0.0,0.0,0.3700000047683716,-1.899999976158142,-0.07000000029802322,1.1299999952316284,1.0,0.16686001420021057,-3.191891195797325e-16
4543.203125,0.0,0.0,-1.2100000381469727,0.07999999821186066,-0.1599999964237213,1.0800000429153442,1.0,0.16686001420021057,-3.191891195797325e-16
