elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.5627508,0.3447125308375121,1.044288171876727,2.2006398797217823
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.5733118,0.3447071611656931,1.0442962451961826,2.200555431075814
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.583406,0.3447187530212469,1.044289035475888,2.2005350072479812
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.59297,0.34471308167416875,1.044290168987443,2.2005051228537926
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.6034088,0.34472316050583585,1.044271605820912,2.2006448608457228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727454069.613298,0.34471269588184017,1.0442971084420731,2.2005046546302194
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.6232615,0.34470194322730935,1.0442855770718886,2.2005568538846254
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.633336,0.34471503035680445,1.0442872033515862,2.2005679271627137
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.6431832,0.3447062844178051,1.0442924925859232,2.2007512731144763
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.653424,0.34472763536491774,1.0442928085970733,2.2004787230965652
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.663197,0.3447197419078916,1.044277838636475,2.200443079434261
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.6734247,0.3447130755261051,1.0442905931796904,2.2006093697281215
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.6837046,0.3447108234767404,1.0442895313114262,2.2003552465090834
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.6929736,0.3447068002420121,1.0442837340168785,2.200404767848046
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.7034466,0.3447073580948784,1.0442912843498056,2.2006156290439334
58.14320755004883,0.0,0.0,-0.3499999940395355,0.18000000715255737,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.71301,0.34471809301176193,1.0442905305513068,2.2006362451083463
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7234278,0.3447089000510328,1.0442847475669415,2.200514799885071
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7333243,0.3447285224943896,1.0442963630841178,2.200432082779404
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.743267,0.34471448759803885,1.044288953880476,2.200574415599772
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7533286,0.34473301872591644,1.04428325819867,2.200466673005941
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7633839,0.34470437148684174,1.044294858530708,2.200496623965226
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7735155,0.34470775392739245,1.0442938235485322,2.200449757022879
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.7835991,0.34470709167849833,1.0442910013875961,2.2005429348995666
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.793486,0.34471608400435333,1.0442902537140866,2.2007428504573014
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.8035104,0.3447224203964052,1.0442897380059855,2.2003596350819064
58.24419403076172,0.0,0.0,-0.4099999964237213,0.17000000178813934,0.001090830541215837,0.0,0.0,0.0,-0.6456311941146851,1727454069.8133075,0.3447292495243206,1.0442819492571336,2.200483600939045
58.3450927734375,0.0,0.0,-0.4300000071525574,0.15000000596046448,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.8232977,0.3447201946779639,1.0442967131914043,2.2005030537881445
58.3450927734375,0.0,0.0,-0.4300000071525574,0.15000000596046448,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.8332503,0.3447137687244409,1.0442747614109853,2.2006004462452737
58.3450927734375,0.0,0.0,-0.4300000071525574,0.15000000596046448,0.0,0.0,0.0,0.0,-0.6456311941146851,1727454069.8432448,0.3446998299184048,1.0442871320825022,2.2004982686497523
