elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5260472,-2.003371381320713,0.4558196553094276,0.16364192489579799
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.536269,-2.003370670153281,0.4558082480598414,0.1634727999516171
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5462227,-2.003372045544485,0.45580831694732793,0.16346633922091777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5561743,-2.0033678761295866,0.4558186043659279,0.1636766653532375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5658753,-2.0033643200468934,0.45581566804654766,0.16361528246381316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5761895,-2.0033630792427233,0.4558169751389998,0.16350415666468524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.5860875,-2.003363656250068,0.45581931690883054,0.1637178897998529
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.596469,-2.0033753467752997,0.4558197471681224,0.16364231959832098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.6062908,-2.0033703180419584,0.4558153527399719,0.16361221541763907
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726475222.616393,-2.00337417810697,0.4558206414556693,0.16351123517433006
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.6268196,-2.0033707004360255,0.45581975664311336,0.16353294510144611
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.636792,-2.003360437051614,0.4558213410333181,0.1635922897684308
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.6469936,-2.0033708505236953,0.45582660580006557,0.16371531947764947
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.6568856,-2.0033863451785625,0.45583728922083944,0.1636622058355675
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.666816,-2.003383745955803,0.45581735322165484,0.16349541852050897
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.6771898,-2.0033770000285056,0.45582895844686966,0.16366241086883268
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.6868167,-2.003382582283641,0.4558239463848428,0.16362621493499838
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.696633,-2.003390360942268,0.4558237625371731,0.1635446281629651
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.7068906,-2.003375822502,0.4558210728229075,0.16365217593006254
974.65625,0.0,0.0,-0.3700000047683716,-0.12999999523162842,0.001090830541215837,0.0,0.0,-0.0,-0.0,1726475222.7168057,-2.003373835660499,0.4558321074979304,0.16353579639742477
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.727024,-2.003383913213629,0.4558316693722906,0.16364907873214485
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7369456,-2.0033712738059157,0.4558305161284009,0.16374362533233575
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7465746,-2.0033854873294086,0.45582781786524323,0.16360080396317697
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7564955,-2.003380740196126,0.4558178323390472,0.1636673438881954
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7666287,-2.0033781480145154,0.45581667468118203,0.16348916597859306
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7767274,-2.00336694273402,0.45583304574599587,0.1635794360703816
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.7866545,-2.0033744249111645,0.4558304668565541,0.16366787310518907
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.796747,-2.0033773639881565,0.45582865237406955,0.16363799075986502
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.806697,-2.003378472312254,0.4558315426757301,0.16369666362075533
974.754150390625,0.0,0.0,-0.38999998569488525,-0.15000000596046448,-0.002181661082431674,0.0,0.0,-0.0,-0.0,1726475222.816732,-2.0033861921041525,0.45582932159248757,0.16353131204168964
