elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,unwrapped yaw,vx_abs_filtered,vy_abs_filtered,w,ax_abs_filtered_more,ay_abs_filtered_more,acc_w,vx body,vy body,ax body no centrifugal,ay body no centrifugal,ax body,ay body,steering angle,Vx_wheel_front,slip angle front,slip angle rear,Fx wheel,Fy rear wheel,Fy front wheel,V_y front wheel,V_y rear wheel
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.010061502456665,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0200006961822509,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0299458503723144,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0408186912536621,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0501649379730224,-0.4083866485972526,0.015290340876679659,-0.868014195380684,-0.8603279082159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0599889755249023,-0.408385010907101,0.015280213347014526,-0.8680082775178827,-0.8603219903531946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0702502727508544,-0.4083872718291126,0.015276882846305836,-0.867950511820145,-0.8602642246554569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.3499999940395355,0.2599999904632568,-0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0801773071289062,-0.4083969532947743,0.015288163066406103,-0.8679348071202285,-0.8602485199555404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0967330932617187,0.0,0.0,-0.3600000143051147,0.270000010728836,0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.0905187129974365,-0.40838764955528534,0.015285716473099233,-0.867955736089205,-0.8602694489245168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29662455851647673,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0967330932617187,0.0,0.0,-0.3600000143051147,0.270000010728836,0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.1001217365264892,-0.40838756057323816,0.015292829097278176,-0.8681143506600837,-0.8604280634953956,-4.311035438712945e-05,2.8307090946975117e-06,0.0003684542568649798,0.00012925105251402325,-0.0002668126749258732,0.002646005884450673,-3.0258844900517182e-05,-3.083695631298816e-05,0.0002865627916203136,-7.600397710551223e-05,0.0002865514296124913,-7.599282810530082e-05,0.29662455851647673,-2.928223696844499e-05,1.92880711395247e-05,-0.00016274429383107477,0.0004446118326583058,-0.000129008016998931,-6.351922776511968e-05,7.716226418137904e-06,-6.510658358543415e-05
0.0967330932617187,0.0,0.0,-0.3600000143051147,0.270000010728836,0.0010908305412158,0.0,0.0,0.0,0.8378345966339111,0.1100382804870605,-0.4084007109064563,0.015282092489127864,-0.8680197299482961,-0.860333442783608,-1.5924991540251135e-05,-2.8500000899872328e-05,-0.0003849472724827113,0.000520165269784517,8.438207132607906e-05,-0.0005113651009032442,1.1218676331160784e-05,-3.065936575055731e-05,0.0002752771695000746,0.00044934922032123975,0.00027528897173929634,0.0004493535389200943,0.29662455851647673,-7.289447209679196e-06,-0.0001555655779055472,1.2861307586173046e-05,0.0005338660530347246,0.0003435383210852976,0.0002956944713650192,-6.223115214889644e-05,5.144263334291171e-06
